Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
221000,1.5146705,999.0,10.998583,284.50232219696045,284.50232219696045,1.0
222000,1.5437417,999.0,10.662708,283.6512632369995,283.6512632369995,1.0
223000,1.5217538,None,10.905652,None,None,1.0
224000,1.532805,999.0,11.017347,284.08306312561035,284.08306312561035,1.0
225000,1.5312881,999.0,10.644174,283.6207513809204,283.6207513809204,1.0
226000,1.5311189,None,10.825202,None,None,1.0
227000,1.5083055,999.0,11.546691,284.3700695037842,284.3700695037842,1.0
228000,1.564562,534.0,9.699284,188.5867178440094,188.5867178440094,1.0
229000,1.6215312,399.0,6.5530205,104.20502626895905,104.20502626895905,1.0
230000,1.8043973,999.0,5.912136,264.836377620697,264.836377620697,1.0
231000,1.5421691,966.0,7.26213,36.72372493892908,36.72372493892908,1.0
232000,1.5131016,None,11.300522,None,None,1.0
233000,1.4976623,None,11.423662,None,None,1.0
234000,1.5454468,999.0,11.37388,283.7899986902873,283.7899986902873,1.0
235000,1.500364,None,11.321968,None,None,1.0
236000,1.4876416,None,11.337826,None,None,1.0
237000,1.4996762,999.0,11.553442,283.13204606374103,283.13204606374103,1.0
238000,1.4944643,None,11.617857,None,None,1.0
239000,1.4867953,None,11.712777,None,None,1.0
240000,1.4954164,999.0,11.489929,285.9049418767293,285.9049418767293,1.0
241000,1.4868811,None,11.47653,None,None,1.0
242000,1.4797376,None,11.781735,None,None,1.0
243000,1.4969743,999.0,11.407454,284.88904666900635,284.88904666900635,1.0
244000,1.4713242,None,11.714781,None,None,1.0
245000,1.4713638,None,11.625625,None,None,1.0
246000,1.4795009,999.0,11.608046,285.8413855234782,285.8413855234782,1.0
247000,1.4889961,None,11.730659,None,None,1.0
248000,1.4887202,None,11.941402,None,None,1.0
249000,1.4747782,999.0,11.832075,285.31831645965576,285.31831645965576,1.0
250000,1.4728404,None,11.894469,None,None,1.0
251000,1.4942342,None,11.898184,None,None,1.0
252000,1.4935004,780.75,11.852516,222.6299753189087,222.6299753189087,1.0
253000,1.4960424,None,11.863955,None,None,1.0
254000,1.4796085,None,11.977054,None,None,1.0
255000,1.4835956,999.0,11.701148,285.7324679692586,285.7324679692586,1.0
256000,1.4885309,None,11.775202,None,None,1.0
257000,1.4725266,None,12.039607,None,None,1.0
258000,1.4925052,923.3333333333334,11.753919,262.65410176912945,262.65410176912945,1.0
259000,1.4808183,None,12.079355,None,None,1.0
260000,1.4634403,742.0,12.181723,206.19097805023193,206.19097805023193,1.0
261000,1.4855657,999.0,11.925547,286.40008878707886,286.40008878707886,1.0
262000,1.4711548,542.0,12.191349,148.64228534698486,148.64228534698486,1.0
263000,1.4748982,999.0,12.078446,282.2002239227295,282.2002239227295,1.0
264000,1.4769014,999.0,11.955946,285.93108558654785,285.93108558654785,1.0
265000,1.4722998,999.0,12.163122,283.4204158782959,283.4204158782959,1.0
266000,1.4530644,999.0,12.161709,284.77777576446533,284.77777576446533,1.0
267000,1.4882551,999.0,12.094516,286.30305576324463,286.30305576324463,1.0
268000,1.4700582,999.0,12.428633,286.3761959075928,286.3761959075928,1.0
269000,1.4812932,999.0,12.276684,286.1442394256592,286.1442394256592,1.0
270000,1.4774876,672.5,12.468195,189.88961160182953,189.88961160182953,1.0
271000,1.4727225,999.0,12.221749,287.25260829925537,287.25260829925537,1.0
272000,1.4548374,None,12.231117,None,None,1.0
273000,1.4566475,999.0,12.363006,285.23816442489624,285.23816442489624,1.0
274000,1.4631304,999.0,12.179937,286.5427703857422,286.5427703857422,1.0
275000,1.4572811,None,12.379781,None,None,1.0
276000,1.4492084,999.0,12.316749,285.2090721130371,285.2090721130371,1.0
277000,1.4518374,999.0,12.220497,284.9842805862427,284.9842805862427,1.0
278000,1.4560368,556.0,12.491163,155.05762195587158,155.05762195587158,1.0
279000,1.4494987,999.0,12.625603,283.390851020813,283.390851020813,1.0
280000,1.4460963,999.0,12.540493,286.8690299987793,286.8690299987793,1.0
281000,1.4484295,999.0,12.313284,285.709361076355,285.709361076355,1.0
282000,1.4639777,999.0,12.574519,284.0926809310913,284.0926809310913,1.0
283000,1.4658238,999.0,12.690374,284.88470935821533,284.88470935821533,1.0
284000,1.4653007,999.0,12.328668,287.1693525314331,287.1693525314331,1.0
285000,1.4549422,999.0,12.537956,286.22046661376953,286.22046661376953,1.0
286000,1.4553993,865.5,12.295379,246.01913142204285,246.01913142204285,1.0
287000,1.4197669,None,12.586383,None,None,1.0
288000,1.4689697,999.0,12.651558,286.1180763244629,286.1180763244629,1.0
289000,1.5113808,715.6666666666666,10.964749,201.45097239812216,201.45097239812216,1.0
290000,1.5734499,None,6.0305643,None,None,1.0
291000,1.4184656,640.0,9.983274,55.37122920652231,55.37122920652231,1.0
292000,1.4435105,None,12.954727,None,None,1.0
293000,1.4506919,None,12.932283,None,None,1.0
294000,1.4647716,999.0,12.693566,286.41135183970135,286.41135183970135,1.0
295000,1.4577785,None,12.8968525,None,None,1.0
296000,1.4677761,None,12.842272,None,None,1.0
297000,1.4547893,999.0,12.667153,286.5934826533,286.5934826533,1.0
298000,1.4582729,None,12.880685,None,None,1.0
299000,1.45174,None,12.951204,None,None,1.0
300000,1.4550118,999.0,12.905403,285.75514761606854,285.75514761606854,1.0
