Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Is Training
42000,2.1205914,227.0,0.12856752,1.4657856,0.5110453,21.6362380584081,21.6362380584081,26.56197961171468,10.474401637911797,1.0
43000,2.1018465,133.85714285714286,0.49158853,1.6215296,0.477396,10.554140738078527,10.554140738078527,18.191298586981638,0.8273681885163698,1.0
44000,2.1144216,328.0,0.61107254,1.539976,0.49796632,45.8369490702947,45.8369490702947,31.8816659450531,2.7225310827294984,1.0
45000,2.1097684,181.28571428571428,0.414838,1.64912,0.49026194,21.117817180497305,21.117817180497305,17.665749864918844,1.4636047070962377,1.0
46000,2.113837,94.33333333333333,0.6129712,1.4652878,0.49366894,11.354418834050497,11.354418834050497,10.334512710571289,0.7106784482796987,1.0
47000,2.1114078,481.0,0.63994455,1.4825438,0.50133204,63.21094024181366,63.21094024181366,43.638837814331055,4.079306982457638,1.0
48000,2.1178954,339.75,0.485347,1.5111609,0.4593847,44.69232828915119,44.69232828915119,32.592008143663406,2.7813651212491095,1.0
49000,2.1049273,149.0,0.478152,1.5757965,0.49617654,14.424600958824158,14.424600958824158,14.996031373739243,1.1661010598763824,1.0
50000,2.1111734,251.0,0.58860356,1.6365075,0.511656,34.41356199234724,34.41356199234724,22.988268733024597,2.07673612004146,1.0
51000,2.1062198,270.3333333333333,0.58631176,1.5619376,0.4888345,33.67352763811747,33.67352763811747,25.105437517166138,2.304526686668396,1.0
52000,2.0795336,209.0,0.55079406,1.7895719,0.507395,27.198296308517456,27.198296308517456,18.40827877322833,1.5808124234899879,1.0
53000,2.0784953,172.2,0.8734166,1.8620298,0.5319377,22.669344663619995,22.669344663619995,10.360669207572936,0.7947952523827553,1.0
54000,2.0673234,140.0,0.72754925,1.9110535,0.5032021,18.10867267847061,18.10867267847061,8.577839195728302,0.6970732547342777,1.0
55000,2.0558414,307.6,0.812786,2.0083945,0.5430351,60.43378680944443,60.43378680944443,22.41046032309532,1.7394819513428956,1.0
56000,2.0781045,124.25,0.7925391,1.9275947,0.5404029,14.141472768783569,14.141472768783569,7.132757234573364,0.5656130036339164,1.0
57000,2.0632691,417.6666666666667,0.72527534,1.9121598,0.5029959,65.60422178109486,65.60422178109486,25.236845195293427,2.311745429445485,1.0
